Pertanyaan,A,B,C,D,Jawaban
Apa nama suku asli yang mendiami Pulau Sumba?,Suku Dayak,Suku Sasak,Suku Ngada,Suku Marapu,D
Di mana lokasi desa tradisional Bena yang terkenal di Pulau Flores?,Kota Ruteng,Kota Ende,Kota Labuan Bajo,Kota Bajawa,D
Apa nama tari perang tradisional yang berasal dari Pulau Sumba?,Tari Gendang, Tarian Caci, Tarian Kecak, Tari Topeng,B
Apa nama sistem pertanian yang digunakan masyarakat di Pulau Sumba?,Sawah Tadah Hujan,Terasi Laut,Pertanian Lahan Kering,Pertanian Irigasi,A
Apa nama gunung yang tertinggi di Nusa Tenggara?,Gunung Rinjani, Gunung Tambora, Gunung Sangeang Api, Gunung Bromo,B
Pulau apa yang dikenal sebagai tempat kelahiran budaya tenun ikat di Nusa Tenggara?,Pulau Sumbawa, Pulau Flores, Pulau Lombok, Pulau Sumba,D
Apa nama upacara adat yang dilakukan oleh masyarakat Sumba untuk merayakan pernikahan?,Upacara Pasola, Upacara Rambu Solo, Upacara Ngaben, Upacara Yadnya,B
Apa nama bahasa asli yang digunakan oleh masyarakat di Pulau Sumbawa?,Bahasa Bima,Bahasa Sasak,Bahasa Manggarai,Bahasa Sumbawa,A
Apa jenis seni ukir yang terkenal dari Nusa Tenggara?,Ukir Bali, Ukir Sumbawa, Ukir Sasak, Ukir Lombok,B
Apa nama taman nasional yang terkenal dengan keanekaragaman hayati di Pulau Komodo?,Taman Nasional Bali Barat,Taman Nasional Komodo,Taman Nasional Wakatobi,Taman Nasional Sumba,C
